fold,goc_f1,baseline_f1,difference
1,0.9130,0.7731,0.1399
2,0.9141,0.7725,0.1416
3,0.9159,0.7735,0.1425
4,0.9162,0.7755,0.1406
5,0.9150,0.7754,0.1395
6,0.9119,0.7762,0.1357
7,0.9134,0.7696,0.1438
8,0.9106,0.7741,0.1365
9,0.9115,0.7730,0.1385
10,0.9137,0.7748,0.1389

metric,value
goc_avg_f1,0.9135
baseline_avg_f1,0.7738
wilcoxon_W,0.0000
p_value,0.0020
effect_size_r,0.9794
