fold,goc_f1,baseline_f1,difference
1,0.7720,0.7048,0.0672
2,0.7722,0.7035,0.0687
3,0.7714,0.6970,0.0744
4,0.7742,0.7034,0.0708
5,0.7690,0.7056,0.0633
6,0.7688,0.6963,0.0725
7,0.7669,0.6998,0.0671
8,0.7678,0.7062,0.0616
9,0.7720,0.6999,0.0721
10,0.7745,0.7020,0.0726

metric,value
goc_avg_f1,0.7709
baseline_avg_f1,0.7018
wilcoxon_W,0.0000
p_value,0.0020
effect_size_r,0.9794
